Chromosome	Position	Mean
chr1	600000	-0.952726870681051
chr1	800000	2.85785731653239
chr1	850000	3.43932551162272
chr1	900000	3.8784168508446
chr1	950000	4.20267903992069
chr1	1000000	4.28412772121992
chr1	1050000	4.24279645590094
chr1	1100000	4.30529239314952
chr1	1150000	4.35236512285312
chr1	1200000	4.34136201748624
chr1	1250000	4.30067973054509
chr1	1300000	4.22148209456289
chr1	1350000	4.03821652929016
chr1	1400000	3.85032859172028
chr1	1450000	3.67048194597832
chr1	1500000	3.51956501799331
chr1	1550000	3.51875629238576
chr1	1600000	3.5570268657882
chr1	1650000	3.66339224641737
chr1	1700000	3.83956351521875
chr1	1750000	3.94727113040698
chr1	1800000	3.95651172052461
chr1	1850000	3.93013370888173
chr1	1900000	3.83482451279141
chr1	1950000	3.71109110150354
chr1	2000000	3.524870395067
chr1	2050000	3.34408241336548
chr1	2100000	3.23476234643859
chr1	2150000	3.16981597302739
chr1	2200000	3.20564800158627
chr1	2250000	3.27997720035681
chr1	2300000	3.47514246552153
chr1	2350000	3.66983583469033
chr1	2400000	3.83269321190796
chr1	2450000	3.95819198095227
chr1	2500000	3.90203453246336
chr1	2550000	3.77134678891486
chr1	2600000	3.62354508055404
chr1	2650000	3.37877493787663
chr1	2750000	2.81032861047662
chr1	2800000	2.68019504518941
chr1	2850000	2.5934945935335
chr1	2900000	2.63040124199984
chr1	2950000	2.71840440904491
chr1	3000000	2.86179254726282
chr1	3050000	3.02600065532081
chr1	3100000	3.1786169274909
chr1	3150000	3.33103106544049
chr1	3200000	3.45949115891201
chr1	3250000	3.560821084918
chr1	3300000	3.57397878993926
chr1	3350000	3.56891940851424
chr1	3400000	3.53296981880124
chr1	3450000	3.45622457602577
chr1	3500000	3.43896005000643
chr1	3550000	3.52343966352166
chr1	3600000	3.63592040793327
chr1	3650000	3.8545800884688
chr1	3700000	4.06212982423587
chr1	3750000	4.17201414225869
chr1	3800000	4.23128794141567
chr1	3850000	4.13503066231657
chr1	3900000	3.98747172563928
chr1	3950000	3.78880243793831
chr1	4000000	3.55431433988364
chr1	4050000	3.29403764039108
chr1	4100000	3.03710122025048
chr1	4150000	2.88580801868674
chr1	4200000	2.75065242209271
chr1	4250000	2.58748102807019
chr1	4300000	2.42122752498729
chr1	4350000	2.26631530012692
chr1	4400000	2.13582369758028
chr1	4450000	2.02473088266647
chr1	4500000	1.91734353886975
chr1	4550000	1.82053368680257
chr1	4600000	1.81295924881366
chr1	4650000	1.79430421526756
chr1	4700000	1.66703683774714
chr1	4750000	1.50794590244351
chr1	4800000	1.33117093810975
chr1	4850000	1.04788186200896
chr1	4900000	0.772852329657711
chr1	4950000	0.549011957386842
chr1	5000000	0.37481810108088
chr1	5050000	0.377519215895504
chr1	5100000	0.450286704615143
chr1	5150000	0.555644007879805
chr1	5200000	0.727111187740035
chr1	5250000	0.972904343218548
chr1	5300000	1.34365538165539
chr1	5350000	1.7560030412636
chr1	5400000	2.22559461459102
chr1	5450000	2.7038252880675
chr1	5500000	3.19372507387148
chr1	5550000	3.63839285966978
chr1	5600000	3.88546031522274
chr1	5650000	4.05516329373367
chr1	5700000	4.08858585998127
chr1	5750000	4.05987377732596
chr1	5800000	4.05743882204937
chr1	5850000	4.01643073800669
chr1	5900000	3.85460888603849
chr1	5950000	3.68138069690562
chr1	6000000	3.58455741290314
chr1	6050000	3.49755766011733
chr1	6100000	3.47582189290058
chr1	6150000	3.5679229244363
chr1	6200000	3.68425504415584
chr1	6250000	3.88586075412943
chr1	6300000	4.0799080439505
chr1	6350000	4.15142055210388
chr1	6400000	4.17335537704202
chr1	6450000	4.01285652892722
chr1	6500000	3.81120884576105
chr1	6550000	3.60736536130448
chr1	6600000	3.42028657374887
chr1	6650000	3.33857192104781
chr1	6700000	3.29797362478069
chr1	6750000	3.38511039347227
chr1	6800000	3.49606361359141
chr1	6850000	3.5536825436701
chr1	6900000	3.62119630632194
chr1	6950000	3.67458141838919
chr1	7000000	3.74508602029556
chr1	7050000	3.79432792516457
chr1	7100000	3.75457166840204
chr1	7150000	3.68226554480512
chr1	7200000	3.60702171382371
chr1	7250000	3.52486160890576
chr1	7300000	3.414321039093
chr1	7350000	3.2878854722793
chr1	7400000	3.05406249175875
chr1	7450000	2.84451650314885
chr1	7500000	2.81364545944192
chr1	7550000	2.85259802112182
chr1	7600000	3.06274587294202
chr1	7650000	3.28201025624083
chr1	7700000	3.40055587802858
